,barrio,Distrito,Vulnerabilidad,Esperanza de vida (años),Renta media hogar (€),Código,Superficiekm²2,fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,num_personas,num_personas_hombres,num_personas_mujeres
0,ABRANTES,Carabanchel,15.0,"82,6",26.841,117,1.564,1 de enero de 2023,28079.0,Madrid,11, Carabanchel,117,31.691,14.711,16.980
1,ACACIAS,Arganzuela,85.0,"84,4",43.512,22,1.074,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,22,36.069,16.616,19.453
2,ADELFAS,Retiro,97.0,"82,5",44.308,32,0.64,1 de enero de 2023,28079.0,Madrid,3, Retiro,32,18.832,8.699,10.133
3,AEROPUERTO,Barajas,61.0,"81,8",22.835,212,25.132,1 de enero de 2023,28079.0,Madrid,21, Barajas,212,1.902,965,937
4,ALAMEDA DE OSUNA,Barajas,116.0,"83,9",51.56,211,1.961,1 de enero de 2023,28079.0,Madrid,21, Barajas,211,19.685,9.397,10.288
5,ALMAGRO,Chamberí,113.0,84,69.449,74,0.937,1 de enero de 2023,28079.0,Madrid,7, Chamberí,74,19.418,8.567,10.851
6,ALMENARA,Tetuán,32.0,"82,6",27.382,64,0.999,1 de enero de 2023,28079.0,Madrid,6, Tetuán,64,23.057,10.688,12.369
7,ALMENDRALES,Usera,12.0,"83,4",24.167,124,0.772,1 de enero de 2023,28079.0,Madrid,12, Usera,124,22.834,10.755,12.079
8,ALUCHE,Latina,33.0,84,30.206,104,2.849,1 de enero de 2023,28079.0,Madrid,10, Latina,104,66.588,30.384,36.204
10,AMPOSTA,San Blas,18.0,"78,4",20.885,203,0.37,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,203,9.126,4.258,4.868
11,APOSTOL SANTIAGO,Hortaleza,71.0,"84,2",35.149,165,1.204,1 de enero de 2023,28079.0,Madrid,16, Hortaleza,165,15.435,7.344,8.091
12,ARAPILES,Chamberí,93.0,83,40.17,72,0.578,1 de enero de 2023,28079.0,Madrid,7, Chamberí,72,24.190,10.831,13.359
13,ARAVACA,Moncloa-Aravaca,120.0,82,72.528,97,5.855,1 de enero de 2023,28079.0,Madrid,9, Moncloa-Aravaca,97,27.445,12.836,14.609
14,ARCOS,San Blas,36.0,"81,5",26.735,204,1.305,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,204,25.354,11.932,13.422
15,ARGÜELLES,Moncloa-Aravaca,100.0,"82,9",51.926,92,0.755,1 de enero de 2023,28079.0,Madrid,9, Moncloa-Aravaca,92,24.497,11.207,13.290
16,ATALAYA,Ciudad Lineal,88.0,"84,1",62.597,158,0.248,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,158,1.622,691,931
17,ATOCHA,Arganzuela,83.0,"78,8",36.649,27,0.775,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,27,1.949,957,992
18,BELLAS VISTAS,Tetuán,43.0,"83,1",29.189,61,0.716,1 de enero de 2023,28079.0,Madrid,6, Tetuán,61,29.355,13.428,15.927
